,genre,emotion,track_id,title,artist,Unnamed: 0,url
0,electronic,angry,94,Flying,Solar Cycle,89.0,https://soundcloud.com/hn-masinari/flying
1,pop,angry,31,Fountain Street,Mercy Machine,30.0,https://soundcloud.com/long-duong-625546591/fountain-street
2,rock,angry,73,World,William Brooks,69.0,https://soundcloud.com/quan-fuji/world
3,rock,angry,76,Hideaway,William Brooks,66.0,https://soundcloud.com/quan-fuji/hideaway-1
4,rock,angry,76,Hideaway,William Brooks,72.0,https://soundcloud.com/quan-fuji/hideaway
5,rock,angry,90,Didn't You Know?,Greg Annussek,86.0,https://soundcloud.com/quan-fuji/didnt-you-know
6,pop,angry,52,Slipping into Violet,Norine Braun,50.0,https://soundcloud.com/long-duong-625546591/slipping-into-violet
7,pop,angry,66,Give Me Love,Norine Braun,56.0,https://soundcloud.com/long-duong-625546591/give-me-love-1
8,pop,angry,66,Give Me Love,Norine Braun,63.0,https://soundcloud.com/long-duong-625546591/give-me-love
9,pop,angry,53,Wounded Little Bird,Norine Braun,51.0,https://soundcloud.com/long-duong-625546591/wounded-little-bird-1
10,pop,angry,53,Wounded Little Bird,Norine Braun,70.0,https://soundcloud.com/long-duong-625546591/wounded-little-bird
11,electronic,angry,95,Easter,Solar Cycle,90.0,https://soundcloud.com/hn-masinari/easter
12,rock,angry,55,Crown Of Thorns,Shawn Harris,52.0,https://soundcloud.com/quan-fuji/crown-of-thorns
13,pop,angry,11,Fountain of Life (Lean On It Mix) - DJ Anser,Artemis,11.0,https://soundcloud.com/long-duong-625546591/fountain-of-life-lean-on-it
14,rock,angry,57,Making Circles,The Seldon Plan,54.0,https://soundcloud.com/quan-fuji/making-circles
15,electronic,angry,49,Where the Earth Is,The Rapture,47.0,https://soundcloud.com/hn-masinari/where-the-earth-is
16,rock,angry,58,A Rhyming Dictionary,The Seldon Plan,55.0,https://soundcloud.com/quan-fuji/a-rhyming-dictionary
17,rock,angry,60,Jazz House,Wicked Allstars,57.0,https://soundcloud.com/quan-fuji/jazz-house
18,classical,angry,82,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),Ivan Ilic,72.0,https://soundcloud.com/user77075486/intermezzo-in-e-flat-major
19,rock,angry,71,Underside,Lie Big,67.0,https://soundcloud.com/quan-fuji/underside
20,electronic,angry,98,Smooth Guitar,Solar Cycle,93.0,https://soundcloud.com/hn-masinari/smooth-guitar
21,pop,angry,10,A Moment too Soon,Hazelmain,10.0,https://soundcloud.com/long-duong-625546591/a-moment-too-soon
23,electronic,angry,38,Lost,Etherine,36.0,https://soundcloud.com/hn-masinari/lost
24,pop,angry,73,Wounded Little Bird,Norine Braun,51.0,https://soundcloud.com/long-duong-625546591/wounded-little-bird-1
25,pop,angry,73,Wounded Little Bird,Norine Braun,70.0,https://soundcloud.com/long-duong-625546591/wounded-little-bird
26,electronic,angry,52,Down Low,mr Epic,50.0,https://soundcloud.com/hn-masinari/down-low
27,electronic,angry,53,ting,Mr Gelatine,51.0,https://soundcloud.com/hn-masinari/ting
28,electronic,angry,56,Insomnia,Processor,54.0,https://soundcloud.com/hn-masinari/insomnia
30,electronic,angry,13,7 Nine Skank,Burning Babylon,12.0,https://soundcloud.com/hn-masinari/7-nine-skank
31,electronic,angry,12,moments of clarity,Joram,11.0,https://soundcloud.com/hn-masinari/moments-of-clarity
32,classical,happy,68,Alysoun,John Fleagle,60.0,https://soundcloud.com/user77075486/alysoun
33,classical,happy,76,Premier Concert - Coulicam (Rameau),Maryse Carlin,66.0,https://soundcloud.com/user77075486/premier-concert-coulicam
34,classical,happy,91,Prelude: Suite In G Minor: Le Cinquieme Livre De Pieces De Viole (1725),Ralph Rousseau Meulenbroeks,81.0,https://soundcloud.com/user77075486/prelude-suite-in-g-minor-le
35,classical,happy,88,Chopin Prelude In G Sharp Minor Opus 28,Ivan Ilic,78.0,https://soundcloud.com/user77075486/chopin-prelude-in-g-sharp
36,classical,happy,86,Capriccio in G minor Opus 116 No.3 (Johannes Brahms),Ivan Ilic,76.0,https://soundcloud.com/user77075486/capriccio-in-g-minor-opus-116
37,classical,happy,85,Aria Nona (Marco Uccellini),Altri Stromenti,75.0,https://soundcloud.com/user77075486/aria-nona-marco-uccellini
38,classical,happy,84,Toccata XX,Paul Beier,74.0,https://soundcloud.com/user77075486/toccata-xx
39,classical,happy,82,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),Ivan Ilic,72.0,https://soundcloud.com/user77075486/intermezzo-in-e-flat-major
40,electronic,happy,47,Spirit Walker,Kenji Williams,45.0,https://soundcloud.com/hn-masinari/spirit-walker
41,electronic,happy,51,Click Here,Mijo,49.0,https://soundcloud.com/hn-masinari/click-here
42,electronic,happy,52,Down Low,mr Epic,50.0,https://soundcloud.com/hn-masinari/down-low
43,electronic,happy,39,BeatKnick,Glen Bledsoe,37.0,https://soundcloud.com/hn-masinari/beatknick
