Name,Genre,Title,Contributing artists
1.mp3,Classical,Trio Sonata in C Major BWV 529-2. Largo (JS Bach),Voices of Music
10.mp3,Classical,Carnaval Opus 9 - Preambule,Cary Chow
100.mp3,Classical,Partia No 5 - Intrada (Biber),The Sarasa Ensemble
11.mp3,Classical,"Biber: Sonata 6 in C Minor (from 8 Sonatas, 1681)",SCD
12.mp3,Classical,Trio Sonata in D minor-3. Allegro (Telemann),Voices of Music
13.mp3,Classical,Chopin Prelude In E Major Opus 28,Ivan Ilic
14.mp3,Classical,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),Ingrid Matthews and Byron Schenkman
15.mp3,Classical,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),Ingrid Matthews and Byron Schenkman
16.mp3,Classical,Chopin Prelude In G Minor Opus 28,Ivan Ilic
17.mp3,Classical,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),Ivan Ilic
18.mp3,Classical,22 - Sonata No. 2 in G major Op. 50 - Allemanda (allegro),Musica Franca
19.mp3,Classical,Sonata BWV 1027 in G major: adagio,Ralph Rousseau Meulenbroeks
2.mp3,Classical,21 - Sonata No. 2 in G major Op. 50 - Largo,Musica Franca
20.mp3,Classical,Set a 5 in C Minor,Oberlin Consort of Viols
21.mp3,Classical,Sonata for Oboe and Bassoc Continuo in G major: Andante (Sammartini),Gonzalo X Ruiz
22.mp3,Classical,Confitebor (Monteverdi),Altri Stromenti
23.mp3,Classical,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,American Bach Soloists
24.mp3,Classical,Fandango (Luigi Boccherini),Bezdin Ensemble
25.mp3,Classical,"Froberger: Toccata III in C Major, 1656",SCD
26.mp3,Classical,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,American Bach Soloists
27.mp3,Classical,Kyrie - Allegro moderato,American Bach Soloists
28.mp3,Classical,Oboe Quartet in F (K370) - Allegro,American Baroque
29.mp3,Classical,La Savorgnana (Giovanni Legrenzi),Altri Stromenti
3.mp3,Classical,Sonata for Violoncello and Basso Continuo in Bb: Allegro - RV 43 (Vivaldi),Gonzalo X Ruiz
30.mp3,Classical,Gloria (Antonio Vivaldi),Bezdin Ensemble
31.mp3,Classical,Lenten is come,Briddes Roune
32.mp3,Classical,Sonata Prima Detta La Poggia (Marco Uccellini),Altri Stromenti
33.mp3,Classical,JS Bach: Partita in C minor (Sarabande),Ivan Ilic
34.mp3,Classical,Sonata I Sostenuto,Doc Rossi
35.mp3,Classical,Andreas Christi Sancte Andrea (Cristobal de Morales),Duo Chambure
36.mp3,Classical,Sonata In C Major (Weiss) - Andante,Edward Martin and Paul Berget
37.mp3,Classical,Come again: sweet love doth now invite (John Dowland),Edward Martin and William Bastian
38.mp3,Classical,Prelude (Phalese),Edward Martin
39.mp3,Classical,Sinfonia in La Maggiore (Luigi Boccherini),Bezdin Ensemble
4.mp3,Classical,Handel- Suite in Fa Major (Adagio),Ivan Ilic
40.mp3,Classical,If I were wind I would tempest you,Bezdin Ensemble
41.mp3,Classical,Sonata III in d minor (Allegro:Moderato),Ensemble Mirable
42.mp3,Classical,Sonata 1 (Largo),Ensemble Mirable
43.mp3,Classical,Rosenmuller Sonata Teraz a 2 Allegro,Ensemble Vermillian
44.mp3,Classical,Ballo Del Gran Ducca (Giovanni Battista Buonamente),Altri Stromenti
45.mp3,Classical,Chansons sans paroles (1989) op. 2 Pastorale,Gerard Satamian
46.mp3,Classical,Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto),Gonzalo X Ruiz
47.mp3,Classical,Drei Romanzen Op. 94 (Nicht schnell),Gonzalo X Ruiz
48.mp3,Classical,Suite in d minor - Allemande la Loureuse,Hanneke van Proosdij
49.mp3,Classical,Stabat Mater (Antonio Vivaldi),Bezdin Ensemble
5.mp3,Classical,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),Ivan Ilic
50.mp3,Classical,If I were fire,Bezdin Ensemble
51.mp3,Classical,Anon : Praeter rerum seriem,Jacob Heringman
52.mp3,Classical,La Ritirata Di Madrid (Luigi Boccherini),Bezdin Ensemble
53.mp3,Classical,If I were pope,Bezdin Ensemble
54.mp3,Classical,Phenix - Allegro,Musica Franca
55.mp3,Classical,Avanti Il Quarto Brando (Giovanni Battista Buonamente),Altri Stromenti
56.mp3,Classical,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,Musica Franca
57.mp3,Classical,Magnificat (Antonio Vivaldi),Bezdin Ensemble
58.mp3,Classical,If I were emperor,Bezdin Ensemble
59.mp3,Classical,Sinfonia In Re Minore (Luigi Boccherini),Bezdin Ensemble
6.mp3,Classical,Prelude and Fugue No 13 in F-sharp major,Daniel Ben Pienaar
60.mp3,Classical,Chopin Prelude In B Minor Opus 28,Ivan Ilic
61.mp3,Classical,Sonata II in D minor - Allegro,Musica Franca
62.mp3,Classical,Waltz KK IVa no.12 in E major,Janine Johnson
63.mp3,Classical,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),Ivan Ilic
64.mp3,Classical,Sonata III in C major - Fuga da capella,Musica Franca
65.mp3,Classical,Trouble fete (Gorner),Janine Johnson
66.mp3,Classical,Chopin Prelude In C Sharp Minor Opus 28,Ivan Ilic
67.mp3,Classical,Gagliard Seconda (Giovanni Battista Buonamente),Altri Stromenti
68.mp3,Classical,Alysoun,John Fleagle
69.mp3,Classical,More Palatino (Jan Pieterszoon Sweelinck),JungHae Kim
7.mp3,Classical,Trio Sonata in D minor-1 Allegro (Telemann),Voices of Music
70.mp3,Classical,Suite No 4 in E flat major BWV 815: Allemande,Katherine Roberts Perl
71.mp3,Classical,Oxenford (Anon),La Primavera
72.mp3,Classical,BWV 1041 : I. Allegro,Lara St John
73.mp3,Classical,Chopin Prelude In C Major Opus 28,Ivan Ilic
74.mp3,Classical,BWV 1001 / IV. Presto,Lara St John
75.mp3,Classical,Romance in B Major Opus 28 No.3 (Robert Schumann),Ivan Ilic
76.mp3,Classical,Premier Concert - Coulicam (Rameau),Maryse Carlin
77.mp3,Classical,Chopin Prelude In A Flat Major Opus 28,Ivan Ilic
78.mp3,Classical,Matteis: Ground After the Scotch Humour,Music of the Spheres
79.mp3,Classical,Sonata No. 1 in E minor Op. 50 - Andante,Musica Franca
8.mp3,Classical,Suite in C Major-1 Prelude-Johann Gottfried Conradi,Edward Martin
80.mp3,Classical,Phenix - Allegro,Musica Franca
81.mp3,Classical,Sonata IV in B-flat major - Bruit de chasse,Musica Franca
82.mp3,Classical,Intermezzo in E flat Major Opus 117 No.1 (Johannes Brahms),Ivan Ilic
83.mp3,Classical,Ma belle si ton ame (Gilles Durant de la Bergerie),Orinda
84.mp3,Classical,Toccata XX,Paul Beier
85.mp3,Classical,Aria Nona (Marco Uccellini),Altri Stromenti
86.mp3,Classical,Capriccio in G minor Opus 116 No.3 (Johannes Brahms),Ivan Ilic
87.mp3,Classical,Prelude (BWV 996),Paul Berget
88.mp3,Classical,Chopin Prelude In G Sharp Minor Opus 28,Ivan Ilic
89.mp3,Classical,Romance in F sharp Major Opus 28 No.2 (Robert Schumann),Ivan Ilic
9.mp3,Classical,Sonnerie - from Handel Trio Sonatas,Magnatune Compilation
90.mp3,Classical,WF Bach: Concerto in F Major for 2 Harpsichords (Allegro moderato),Phebe Craig and Katherine Westine
91.mp3,Classical,Prelude: Suite In G Minor: Le Cinquieme Livre De Pieces De Viole (1725),Ralph Rousseau Meulenbroeks
92.mp3,Classical,Sonata Seconda A Tre - Due Violini E Viola Da Brazzo,Richard Savino
93.mp3,Classical,To Malvina,Richard Savino
94.mp3,Classical,La Maltese (Mauritio Cazzati),Altri Stromenti
95.mp3,Classical,Concerto No. 1 in G major Op. 26 for Organ - Allegro,Musica Franca
96.mp3,Classical,Sonata in G major - Allegro (Juliane Reichardt),Seth Carlin
97.mp3,Classical,Liszt Variations On A Theme By Bach 'Weinen Klagen',Ivan Ilic
98.mp3,Classical,La Moneverda (Tarquinio Merula),Altri Stromenti
